Al,Co,Cr,Cu,Fe,Hf,Mn,Mo,Nb,Ni,Si,Ta,Ti,V,W,Zr,Phase
0.0,33.33333333,0.0,0.0,33.33333333,0.0,0.0,0.0,0.0,33.33333333,0.0,0.0,0.0,0.0,0.0,0.0,FCC
7.692307692,30.76923077,0.0,0.0,30.76923077,0.0,0.0,0.0,0.0,30.76923077,0.0,0.0,0.0,0.0,0.0,0.0,FCC
14.28571429,28.57142857,0.0,0.0,28.57142857,0.0,0.0,0.0,0.0,28.57142857,0.0,0.0,0.0,0.0,0.0,0.0,BCC+FCC
20.0,26.66666667,0.0,0.0,26.66666667,0.0,0.0,0.0,0.0,26.66666667,0.0,0.0,0.0,0.0,0.0,0.0,BCC+FCC
25.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,BCC
0.0,30.76923077,0.0,0.0,30.76923077,0.0,0.0,0.0,0.0,30.76923077,7.692307692,0.0,0.0,0.0,0.0,0.0,FCC
0.0,25.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,FCC
20.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,BCC
19.60784314,19.60784314,19.60784314,0.0,19.60784314,0.0,0.0,1.960784314,0.0,19.60784314,0.0,0.0,0.0,0.0,0.0,0.0,BCC
19.23076923,19.23076923,19.23076923,0.0,19.23076923,0.0,0.0,3.846153846,0.0,19.23076923,0.0,0.0,0.0,0.0,0.0,0.0,BCC
19.23076923,19.23076923,19.23076923,0.0,19.23076923,0.0,0.0,0.0,0.0,19.23076923,3.846153846,0.0,0.0,0.0,0.0,0.0,BCC
18.51851852,18.51851852,18.51851852,0.0,18.51851852,0.0,0.0,0.0,0.0,18.51851852,7.407407407,0.0,0.0,0.0,0.0,0.0,BCC
17.85714286,17.85714286,17.85714286,0.0,17.85714286,0.0,0.0,0.0,0.0,17.85714286,10.71428571,0.0,0.0,0.0,0.0,0.0,BCC
0.0,18.18181818,18.18181818,18.18181818,18.18181818,0.0,0.0,0.0,0.0,18.18181818,0.0,0.0,9.090909091,0.0,0.0,0.0,FCC
4.545454545,18.18181818,18.18181818,13.63636364,18.18181818,0.0,0.0,0.0,0.0,18.18181818,0.0,0.0,9.090909091,0.0,0.0,0.0,FCC
9.090909091,18.18181818,18.18181818,9.090909091,18.18181818,0.0,0.0,0.0,0.0,18.18181818,0.0,0.0,9.090909091,0.0,0.0,0.0,BCC+FCC
13.63636364,18.18181818,18.18181818,4.545454545,18.18181818,0.0,0.0,0.0,0.0,18.18181818,0.0,0.0,9.090909091,0.0,0.0,0.0,BCC
18.18181818,18.18181818,18.18181818,0.0,18.18181818,0.0,0.0,0.0,0.0,18.18181818,0.0,0.0,9.090909091,0.0,0.0,0.0,BCC
16.66666667,16.66666667,16.66666667,0.0,16.66666667,0.0,0.0,0.0,0.0,16.66666667,0.0,0.0,16.66666667,0.0,0.0,0.0,BCC
15.38461538,15.38461538,15.38461538,0.0,15.38461538,0.0,0.0,0.0,0.0,15.38461538,0.0,0.0,23.07692308,0.0,0.0,0.0,BCC+Laves phase
0.0,20.0,20.0,0.0,20.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,FCC
0.0,19.04761905,19.04761905,0.0,19.04761905,0.0,19.04761905,0.0,0.0,19.04761905,0.0,0.0,0.0,4.761904762,0.0,0.0,FCC
23.80952381,0.0,23.80952381,0.0,23.80952381,0.0,0.0,4.761904762,0.0,23.80952381,0.0,0.0,0.0,0.0,0.0,0.0,BCC1+BCC2
22.22222222,0.0,22.22222222,0.0,22.22222222,0.0,0.0,11.11111111,0.0,22.22222222,0.0,0.0,0.0,0.0,0.0,0.0,BCC1+BCC2
16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,0.0,0.0,0.0,0.0,16.66666667,0.0,0.0,0.0,0.0,0.0,0.0,BCC+FCC
20.63492063,15.87301587,15.87301587,15.87301587,15.87301587,0.0,0.0,0.0,0.0,15.87301587,0.0,0.0,0.0,0.0,0.0,0.0,BCC+FCC
